"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"137","Brandon Jennings","G","1610612765",7.12981333333333,47.01613,34.0638694248681,23,3,2.58250450305085,1,"Shabazz Napier","G","1610612753"
"138","Mario Hezonja","G-F","1610612753",80.465035,24.79145,41.0086068574445,5,2,3.92573648475034,1,"Anthony Tolliver","F","1610612765"
"139","Brandon Jennings","G","1610612765",29.75235,28.67122,30.0454935534071,26,0,7.7384194803461,0,"Shabazz Napier","G","1610612753"
"140","Kentavious Caldwell-Pope","G","1610612765",6.85957,47.64402,32.504687123465,24,0,2.45690743291012,1,"Mario Hezonja","G-F","1610612753"
"141","Aaron Gordon","F","1610612753",69.51886,41.70858,30.7708683103203,26,0,8.13999299439809,0,"Stanley Johnson","F","1610612765"
"142","Shabazz Napier","G","1610612753",75.2852233333333,3.53099333333333,30.5941744074364,27,0,4.70696533273592,0,"Steve Blake","G","1610612765"
"143","Mario Hezonja","G-F","1610612753",70.11274,20.588725,30.0983430618275,15,0,4.68511429769062,0,"Darrun Hilliard","F","1610612765"
"144","Reggie Bullock","F","1610612765",8.8848,43.508755,31.0770760719879,19,0,6.29005102937369,0,"Dewayne Dedmon","C","1610612753"
"145","Darrun Hilliard","F","1610612765",14.3584333333333,6.61127333333333,28.903728952701,17,0,1.19478921657994,1,"Mario Hezonja","G-F","1610612753"
"146","Anthony Tolliver","F","1610612765",11.535055,2.936035,34.8178561813659,19,2,6.17709773467281,0,"Andrew Nicholson","F","1610612753"
"147","Shabazz Napier","G","1610612753",70.7401133333333,26.41912,35.4631959209455,19,2,4.0919465954509,0,"Steve Blake","G","1610612765"
"148","Anthony Tolliver","F","1610612765",32.3487,26.1855333333333,19.9311371172631,27,3,6.9835126426781,0,"Andrew Nicholson","F","1610612753"
"149","Shabazz Napier","G","1610612753",81.994915,47.30941,33.7789105887605,24,3,5.319470862936,0,"Steve Blake","G","1610612765"
"150","Steve Blake","G","1610612765",3.035235,2.33806,31.7921243064947,23,0,3.77999056721376,1,"Shabazz Napier","G","1610612753"
"151","Shabazz Napier","G","1610612753",79.27783,47.3083166666667,31.8444115765573,25,0,5.36868829134788,0,"Steve Blake","G","1610612765"
"152","Andrew Nicholson","F","1610612753",91.33216,23.295795,34.8928811298029,0,2,2.57797099944899,1,"Joel Anthony","C","1610612765"
